Permutation,SkewScore,SatisfiedPairs,DMT10,DMT4,DMT5,DMT6,DMT11,DMT3,DMT9,DMT12,DMT15,DMT13,DMT14,DMT8,DMT1,DMT2,DMT7
"['Instrumentation', 'Thermofluids', 'Structures', 'Materials', 'Mechanisms', 'Dynamics']",0.595,7,7.029,5.525,5.304,5.734,6.176,6.558,3.841,3.387,4.404,5.869,1.991,4.177,1.579,3.11,2.775
"['Instrumentation', 'Thermofluids', 'Structures', 'Materials', 'Dynamics', 'Mechanisms']",0.595,7,7.029,5.806,5.206,5.734,5.881,6.839,3.644,3.289,4.489,6.151,1.977,3.98,1.382,3.195,2.86
"['Thermofluids', 'Mechanisms', 'Instrumentation', 'Materials', 'Structures', 'Dynamics']",0.595,8,7.852,2.644,6.401,5.763,7.787,5.728,3.957,2.004,4.916,5.468,3.207,3.066,2.124,2.827,3.718
"['Materials', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Structures', 'Dynamics']",0.595,8,6.365,4.874,6.4,5.761,4.816,2.572,9.341,1.634,3.246,2.497,3.207,2.696,2.124,2.642,9.288
"['Thermofluids', 'Mechanisms', 'Materials', 'Structures', 'Instrumentation', 'Dynamics']",0.595,7,7.745,2.389,6.761,6.281,7.33,4.805,4.826,1.547,4.301,5.011,3.524,2.768,2.441,2.837,4.895
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures', 'Dynamics', 'Materials']",0.594,8,7.872,3.406,5.947,5.798,7.553,6.915,2.586,2.435,5.137,6.512,2.809,3.323,1.777,3.064,2.327
"['Materials', 'Instrumentation', 'Mechanisms', 'Structures', 'Thermofluids', 'Dynamics']",0.594,8,5.888,6.493,5.747,5.599,3.985,3.065,9.323,2.435,3.072,2.662,2.528,3.323,1.777,2.782,8.782
"['Materials', 'Structures', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.594,7,5.862,6.218,6.122,6.943,3.381,2.545,8.974,2.123,1.984,3.074,2.773,3.303,2.36,3.064,8.735
"['Materials', 'Structures', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.594,6,6.12,5.295,6.531,7.217,3.752,2.204,8.936,1.642,1.929,3.041,3.177,2.957,2.63,3.026,9.005
"['Thermofluids', 'Structures', 'Materials', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.594,8,7.566,3.032,6.766,7.452,6.174,4.817,4.295,1.463,3.332,5.744,3.459,2.778,2.63,3.218,4.735
"['Thermofluids', 'Structures', 'Materials', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.594,8,7.566,3.417,6.632,7.452,5.769,5.203,4.025,1.328,3.448,6.129,3.439,2.508,2.36,3.334,4.851
